url,model,year,price,miles,type,color,status,image
https://www.carvana.com/vehicle/1925118,Model S,2013,32990,98313,base,color,Available,https://carvanaevoxprodblob.blob.core.windows.net/evox/color_0640_032_png/MY2019/13547/13547_cc0640_032_PPSB.png
https://www.carvana.com/vehicle/1957512,Model S,2013,29990,96598,base,color,Available,https://carvanaevoxprodblob.blob.core.windows.net/evox/color_0640_032_png/MY2019/13547/13547_cc0640_032_PPSB.png
https://www.carvana.com/vehicle/1839139,Model S,2013,30990,93393,base,color,Available,https://cdnblob.fastly.carvana.io/2001166107/post-large/2001166107-edc-02-search.jpg?v=2021.8.26_13.30.21
https://shift.com/car/2013-tesla-model-s/c1674157,Model S,2013,29500,92000,Base,color,SALE PENDING,https://shiftcars1.imgix.net/content/con1wllfnkfPxLg2UtrRUECFSq18jFnnIouYip0Oai1GRA0gg8yJMB?w=500&auto=format%2Ccompress
https://www.carvana.com/vehicle/1875053,Model X,2016,54590,90610,90D,color,Available,https://cdnblob.fastly.carvana.io/2001079111/post-large/2001079111-edc-02-search.jpg?v=2021.7.16_15.45.55
https://www.carvana.com/vehicle/1983587,Model S,2013,33990,89082,base,color,Available,https://carvanaevoxprodblob.blob.core.windows.net/evox/color_0640_032_png/MY2019/13547/13547_cc0640_032_PPSW.png
https://www.carvana.com/vehicle/1625796,Model S,2013,28590,87538,base,color,Available,https://carvanaevoxprodblob.blob.core.windows.net/evox/color_0640_032_png/MY2019/13547/13547_cc0640_032_PBSB.png
https://www.vroom.com/inventory/tesla-model-s-2012-5YJSA1DP1CFS00488,Model S,2012,24999,87460,Signature Performance,color,Available Soon,
https://www.carvana.com/vehicle/1851251,Model S,2013,31990,85785,base,color,Available,https://cdnblob.fastly.carvana.io/2001135995/post-large/2001135995-edc-02-search.jpg?v=2021.7.21_22.12.16
https://www.carvana.com/vehicle/1897314,Model X,2016,55990,81554,90D,color,Available,https://carvanaevoxprodblob.blob.core.windows.net/evox/color_0640_032_png/MY2019/13547/13547_cc0640_032_PBSB.png
https://www.carvana.com/vehicle/1954902,Model S,2013,35590,80430,base,color,Available,https://cdnblob.fastly.carvana.io/2001257404/post-large/normalized/zoomcrop/2001257404-edc-02.jpg?v=2021.9.4_20.57.59&width=347
https://www.carvana.com/vehicle/1888048,Model S,2014,44590,77618,P85,color,Available,https://cdnblob.fastly.carvana.io/2001146190/post-large/normalized/zoomcrop/2001146190-edc-02.jpg?v=2021.7.20_15.54.20&width=347
"https://www.tesla.com/mx/order/5YJXCDE20HF077116?postal=92805&coord=33.8358,-117.9063&titleStatus=used&redirect=no#payment",Model X,2017,77200,76815,100D Long Range All-Wheel Drive,Deep Blue Metallic Paint,Available Now,"https://static-assets.tesla.com/configurator/compositor?&bkba_opt=2&view=STUD_3QTR&size=1400&model=mx&options=$BP02,$HC00,$AH00,$AD15,$GLFR,$AU01,$X042,$APFB,$APH4,$APBS,$X028,$BTX6,$BS00,$CC01,$BCMB,$CH04,$CF00,$CW02,$COUS,$X040,$IDBO,$X026,$DRLH,$DU00,$AF02,$FMP6,$FG02,$FR01,$TD00,$X007,$X011,$INLPP,$PI01,$IX00,$X001,$LP01,$LT5P,$MI02,$X037,$MDLX,$DV4W,$X025,$X003,$PPSB,$PK00,$X031,$PF00,$X043,$TM00,$BR00,$RCX0,$RENA,$RFPX,$USSB,$X013,$S02P,$ME02,$QLPP,$SR05,$SP00,$X021,$SC04,$SU01,$TRA0,$TR00,$TIC4,$DSH5,$TW01,$MT10A,$UTZW,$WT20,$YFCC,$CPF0&crop=1400,850,300,130&scalemode=centered"
https://www.carvana.com/vehicle/1885309,Model S,2013,34990,76446,base,color,Available,https://cdnblob.fastly.carvana.io/2001135995/post-large/2001135995-edc-02-search.jpg?v=2021.7.21_22.12.16
https://www.carvana.com/vehicle/1856504,Model S,2013,32990,76283,base,color,Available,https://carvanaevoxprodblob.blob.core.windows.net/evox/color_0640_032_png/MY2020/14274/14274_cc0640_032_PPSW.png
https://www.carvana.com/vehicle/1507478,Model S,2014,32590,75857,P85,color,Available,https://carvanaevoxprodblob.blob.core.windows.net/evox/color_0640_032_png/MY2013/8319/8319_cc0640_032_EVOX02.png
https://www.carvana.com/vehicle/1977346,Model S,2013,34990,75319,Performance,color,Available,https://carvanaevoxprodblob.blob.core.windows.net/evox/color_0640_032_png/MY2020/14274/14274_cc0640_032_PPSW.png
https://www.carvana.com/vehicle/1766959,Model 3,2018,37590,74308,Performance,color,Available,https://carvanaevoxprodblob.blob.core.windows.net/evox/color_0640_032_png/MY2013/8319/8319_cc0640_032_EVOX02.png
https://shift.com/car/2015-red-tesla-model-s/c133119,Model S,2015,41950,73000,85D,color,SALE PENDING,https://shiftcars1.imgix.net/content/con1wllfnkfPxLg2UtrRUECFSq18jFnnIouYip0Oai1GRA0gg8yJMB?w=500&auto=format%2Ccompress
https://shift.com/car/2015-black-tesla-model-s/c141162,Model S,2015,37950,73000,70 kWh Battery,color,SALE PENDING,https://shiftcars1.imgix.net/content/con1wllfnkfPxLg2UtrRUECFSq18jFnnIouYip0Oai1GRA0gg8yJMB?w=500&auto=format%2Ccompress
https://www.carvana.com/vehicle/1902082,Model S,2012,32990,72422,Performance,color,Available,https://carvanaevoxprodblob.blob.core.windows.net/evox/color_0640_032_png/MY2019/13547/13547_cc0640_032_PPSB.png
https://www.carvana.com/vehicle/1965623,Model S,2014,34990,71165,base,color,Available,https://cdnblob.fastly.carvana.io/2001079111/post-large/2001079111-edc-02-search.jpg?v=2021.7.16_15.45.55
"https://www.tesla.com/ms/order/5YJSA1E42FF116169?postal=92805&coord=33.8358,-117.9063&titleStatus=used&redirect=no#payment",Model S,2015,52600,70737,P90DL All-Wheel Drive,Titanium Metallic Paint,Available Now,"https://static-assets.tesla.com/configurator/compositor?&bkba_opt=2&view=STUD_3QTR&size=1400&model=ms&options=$BP01,$ADPX2,$GLFR,$AU01,$DA02,$APH1,$APD2,$X028,$BTX4,$PX4D,$BS00,$BC0R,$CH00,$CW00,$COUS,$X040,$IDCF,$X027,$DRLH,$AF00,$FG02,$DCF0,$X007,$X011,$PI01,$IX01,$X001,$LP01,$LT3B,$MI00,$X037,$MDLS,$DV4W,$X024,$X003,$ZCST,$PPTI,$PA00,$PS01,$PK00,$X031,$PX00,$PF01,$TM00,$BR01,$RENA,$RFP2,$USSB,$X013,$S15B,$ME02,$QNEB,$SR01,$SP00,$X019,$SC04,$SU01,$TP03,$TR00,$TIM6,$WTX0,$DSH7,$MT90L,$UTAW,$WTSG,$WR01,$YF01&crop=1400,850,300,130&scalemode=centered"
https://www.carvana.com/vehicle/1940804,Model S,2015,28590,68530,60,color,Available,https://carvanaevoxprodblob.blob.core.windows.net/evox/color_0640_032_png/MY2019/13547/13547_cc0640_032_PPSW.png
